smiles,encoded
C1NCC12CNO2,81230869564650232593927986
C1NCC12CNC2,81230869564650232593924914
C1NCC12COC2,81230869564650232593990450
C1CC2(CNC2)N1,5323532969290663511876839231025
C1CNC2(C1)CNC2,1362824453517056623779819633394482
C1CSC2(CNC2)N1,1362824459561685721884962725645873
C1CC2(CCN2)CN1,1362824440138409855956340726517297
C1COC2(CNC2)N1,1362824454725982443426446026821169
C1CNC2(C1)CCNC2,348883060100366495687633825965163314
C1CCC2(CCNC2)NC1,89314062514184035240433997111284876081
C1CC2(CCN1)NCCO2,89314062508910828319954464425122156338
C1CNCC2(C1)CNC2,348883060100446958444803542009922354
C1CC2(CCN1)CCN2,348883056675432923124822126476086834
C1COCC2(CNC2)N1,348883060409931968266180607953423921
C1COC2(CN1)CNC2,348883060409851505517150353438425906
C1CNC2(CNC2)OC1,348883060100366495695825114141508401
C1CNCC2(C1)CCCN2,89314063385714421361869706754355580466
C1COC2(CCNC2)CN1,89314063464921985411606048233811562033
C1CCC2(CCNCC2)NC1,22864400003631113021551103279218660623153
C1CCC2(CNC1)CNC2,89314062514184035241223514591530468146
C1CNC2(CC2)CN1,1362824453517056623799649060474417
C1CCC2(C1)CNCCN2,89314062514184035239126545965158452786
C1NC2CNC1C2,81230869559885069456327474
C1CC2CNC1CN2,20795050661299266214722489906
C1CC2CNCC1N2,20795050661299266215023300146
C1NC[C@@H]2C[C@H]1CN2,98202095574644593749205293924469826184606419996210
C1C[C@H]2C[C@H](CN2)N1,25139674201336716776786050264118764487352714397306417
C1CC2CNC1[C@H]1CNC[C@@H]21,107974076221736769794771505899844295735579203869491984668111409
C1CC2NCC1C1CNCC21,22864400002292932479747897703750349042225
C1NC[C@H]2N[C@@H]12,1498445061868966581926194584257159875421614386
C1CN[C@@H]2C[C@@H]2N1,98201851224682555161713450144431721571603587419697
C1NCC2CNCC12,20795102608550759757779251506
C[C@]12CNC[C@H]1CNC2,384537607883366091313141089177494054099768722226
C[C@]12CNC[C@@]1(C)CNC2,6451470507582535721036291691606042305408030415289991986
C1CO[C@H]2CNC[C@H]2N1,98201851311794841257383477780890190846398395731505
C1C[C@@H]2CN[C@@H]2CN1,25139674201336706034794639275540038274133568524602929
C1C[C@@H]2NC[C@@H]2CN1,25139674201336706034794642666576962293168403575426609
C1C[C@@H]2CNC[C@@H]2CN1,6435756595542196744907427654509348970640988829558984241
C1CN[C@@H]2CCCN[C@@H]2C1,1647553669596363759379981483170934616433764985654555591473
O=S1(=O)C[C@@H]2NCCN[C@@H]2C1,2136294059708798483081613585168824132663184724034115198544478716707633
FC1(F)CNCCNC1,5566766299210599574157468255025
FC(F)(F)C1CCNCCN1,23909033075087114337784420563078546148913
c1n[nH]c2c1CNC2,515039970459862903134288396180931378
c1noc2c1CNC2,30698774852523871097871811378
c1[nH]nc2c1CNC2,515038470959150620862864031589745458
C1CNCCN1,4841725077814988337
C1CNOCN1,4841725078016314929
C1CCNCC1,4841725030754894641
C1CCNNC1,4841725030755615537
C1CCOCC1,4841725030771671857
C1CNCNC1,4841725077815706417
C1CNCOC1,4841725077815771953
C1CCOC1,18912988401451825
C1CCNC1,18912988401386289
c1cnoc1,27920325818671921
c1ccoc1,27920325634122545
c1cc[nH]c1,468425333932068312015665
c1ccncc1,7147603362318607153
C1CC2(C1)COC2,5323532969290663479879620576050
C1CC2(C1)CCO2,5323532969290663479879619792690
C1CC2(C1)CCN2,5323532969290663479879619792434
C1CC2(C1)CNN2,5323532969290663479879620513330
C1OCC12CO2,317308156294509008998194
C1NC12COC2,317308084217128342733618
C1CC12COC2,317307291583593925526322
C1NCC12CO2,317308084236914971070258
C1NCC12CN2,317308084236914971070002
C1CC12CNC2,317307291583593925460786
C1CC2(C1)CO2,20795050661291654218279767858
C1CC2(C1)CN2,20795050661291654218279767602
C1CC2(C1)CC2,20795050661291654218279764786
