smiles,name,label
C1NCC12CNO2,"1-oxa-2,6-diazaspiro[3.3]heptane",spiro
C1NCC12CNC2,"2,6-diazaspiro[3.3]heptane",spiro
C1NCC12COC2,2-oxa-6-azaspiro[3.3]heptane,spiro
C1CC2(CNC2)N1,"1,6-diazaspiro[3.3]heptane",spiro
C1CNC2(C1)CNC2,"2,5-diazaspiro[3.4]octane",spiro
C1CSC2(CNC2)N1,"5-thia-2,8-diazaspiro[3.4]octane",spiro
C1CC2(CCN2)CN1,"1,7-diazaspiro[3.4]octane",spiro
C1COC2(CNC2)N1,"5-oxa-2,8-diazaspiro[3.4]octane",spiro
C1CNC2(C1)CCNC2,"1,7-diazaspiro[4.4]nonane",spiro
C1CCC2(CCNC2)NC1,"2,6-diazaspiro[4.5]decane",spiro
C1CC2(CCN1)NCCO2,"1-oxa-4,8-diazaspiro[4.5]decane",spiro
C1CNCC2(C1)CNC2,"2,8-diazaspiro[3.5]nonane",spiro
C1CC2(CCN1)CCN2,"1,7-diazaspiro[3.5]nonane",spiro
C1COCC2(CNC2)N1,"8-oxa-2,5-diazaspiro[3.5]nonane",spiro
C1COC2(CN1)CNC2,"5-oxa-2,8-diazaspiro[3.5]nonane",spiro
C1CNC2(CNC2)OC1,"5-oxa-2,9-diazaspiro[3.5]nonane",spiro
C1CNCC2(C1)CCCN2,"1,9-diazaspiro[4.5]decane",spiro
C1COC2(CCNC2)CN1,"6-oxa-2,9-diazaspiro[4.5]decane",spiro
C1CCC2(CCNCC2)NC1,"1,9-diazaspiro[5.5]undecane",spiro
C1CCC2(CNC1)CNC2,"2,9-diazaspiro[3.6]decane",spiro
C1CNC2(CC2)CN1,"4,7-diazaspiro[2.5]octane",spiro
C1CCC2(C1)CNCCN2,"6,9-diazaspiro[4.5]decane",spiro
C1NC2CNC1C2,"2,5-diazabicyclo[2.2.1]heptane",bridged
C1CC2CNC1CN2,"2,5-diazabicyclo[2.2.2]octane",bridged
C1CC2CNCC1N2,"3,8-diazabicyclo[3.2.1]octane",bridged
C1NC[C@@H]2C[C@H]1CN2,"(1R,5S)-3,6-diazabicyclo[3.2.1]octane",bridged
C1C[C@H]2C[C@H](CN2)N1,"(1R,5S)-2,6-diazabicyclo[3.2.1]octane",bridged
C1CC2CNC1[C@H]1CNC[C@@H]21,"octahydro-1H-4,7-(epiminomethano)isoindole",bridged&fused
C1CC2NCC1C1CNCC21,"4,8-diazatricyclo[5.2.2.02,6]undecane",bridged&fused
C1NC[C@H]2N[C@@H]12,"(1R,5S)-3,6-diazabicyclo[3.1.0]hexane",fused
C1CN[C@@H]2C[C@@H]2N1,"(1R,6S)-2,5-diazabicyclo[4.1.0]heptane",fused
C1NCC2CNCC12,"1,2,3,3a,4,5,6,6a-octahydropyrrolo[3,4-c]pyrrole",fused
C[C@]12CNC[C@H]1CNC2,"3a-methyl-2,3,4,5,6,6a-hexahydro-1H-pyrrolo[3,4-c]pyrrole",fused
