smiles,encoded
[C]1COC1,6576202347055104817
[C]1CCC1,6576202347054318385
Cc1ccc(S(=O)(=O)N2C[C]C2)cc1,7096729143421242192310545195987146642087506027026813712654561141553
[CH-]1COC1,430976482709687101244209
[CH-]1CCC1,430976482709687100457777
Cc1ccc(S(=O)(=O)N2C[CH-]C2)cc1,465091241143254528315263889964213642335846794987228874517768502115525425
[CH+]1COC1,430976482146737147822897
[CH+]1CCC1,430976482146737147036465
Cc1ccc(S(=O)(=O)N2C[CH+]C2)cc1,465091241143254528315263889964213642335846794987228874373653314039669553
COc1cc(OC)c([S+](c2ccc(Cl)cc2)[C-]2COC2)c(OC)c1,40468647239100371433966940210680498909168984659015008115616529581488386060885737749439170730406261143292825133873
COc1cc(OC)c(Sc2ccc(Cl)cc2)c(OC)c1,7793977952662724410185362775418029564506766210623038669365622849742727633527601
COc1cc(OC)c([S+](c2ccccc2)[C-]2CCC2)c(OC)c1,9422341184481133575077853214619797400471052308337532097181448335297275237835260256205905438926772462385
COc1cc(OC)c(Sc2ccccc2)c(OC)c1,1814676903342531158166323503343860983035239977206335215953503792489265
COc1cc(OC)c([S+](c2ccc(Cl)cc2)[C-]2CN(S(=O)(=O)c3ccc(C)cc3)C2)c(OC)c1,3876126339924748974504314586223385424917403018393658614532290569681542663582244159835544340679776077254581567463549791321933918517286410485636078377734184655525602097
COc1cc(OC)c([S+](c2ccc(Cl)cc2)C2COC2)c(OC)c1,2412119343227170195219930422942668134520589390934408194757493113368057373326806903798999135605020659639089
COc1cc(OC)c([S+](c2ccccc2)C2CCC2)c(OC)c1,561615299253531311457029176629769647149506348868461376260605354732752755900276772436389736833841
COc1cc(OC)c([S+](c2ccc(Cl)cc2)C2CN(S(=O)(=O)c3ccc(C)cc3)C2)c(OC)c1,231035133595749674707908307684861744935357750558475173385875855069252411293856436377406019818382878122578482289343743725320992549807932211659903646860371911473
